"Name","Topic","Abstract","Short discription","YouTube Video Link","Document","ID","Created Date","Updated Date","Owner","Seminar","Short Description-1","slug","RuthManorLectures_lecture"
"Edi Pavlović","Proof Theory Tutorial (ii): Sequent calculi and their employment","Having obtained well-behaved proof systems, we now want to utilize them. In this session, we explore how sequent calculi can be applied effectively in logic, mathematics, and beyond.","Exploration of practical applications of sequent calculi and techniques for employing them in proofs.",,,"88f60d34-910b-4e8a-9a6d-cf212d5e52fd",2025-03-14T12:33:46Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""93581b61-02a0-440c-b71c-e73f86690628""]",,,
"Norbert Grazl","Living Within One’s Means","""This talk presents a particular view on potential infinity that builds essentially on a generative process",,,,"8d5f9300-cbb1-4f5a-a730-eef229df9136",2025-01-01T21:14:55Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""35ba4779-456a-4e6c-adcc-e8d34bbfa4ec""]",,,
"Balthasar Grabmayr","On the Limits of Mathematics and Their Philosophical Consequences","""There is a well-known gap between metamathematical theorems and their philosophical interpretations. Take Tarski's Theorem. According to its prevalent interpretation, the collection of all arithmetical truths is not arithmetically definable. However, the underlying metamathematical theorem merely establishes the arithmetical undefinability of a set of specific Gödel codes of certain artefactual entities, such as infix strings, which are true in the standard model. That is, as opposed to its philosophical reading, the metamathematical theorem is formulated (and proved) relative to a specific choice of the Gödel numbering and the notation system. Similar observations apply to Gödel and Church's theorems, which are commonly taken to impose severe limitations on what can be proved and computed using the resources of certain formalisms. The philosophical force of these limitative results heavily relies on the belief that these theorems do not depend on contingencies regarding the underlying representation choices. The main aim of this talk is to put this belief under scrutiny by exploring the extent to which we can abstract away from specific representations in the formulations and proofs of several metamathematical results. The talk is based on technical results which are contained in the following three papers: (2024) A Step Towards Absolute Versions of Metamathematical Results Journal of Philosophical Logic, 53: 247–291 [Official Publication (open access)] (2023) Self-Reference Upfront: A Study of Self-Referential Gödel Numberings (with Albert Visser) Review of Symbolic Logic, 16 (2): 385–424 [Official Publication (open access)] (2021) On the Invariance of Gödel’s Second Theorem with regard to Numberings Review of Symbolic Logic, 14 (1): 51-84 [Official Publication (open access)]""",,,,"93d828d2-190c-4b59-ba6a-0102125cc2a6",2025-01-01T21:14:55Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""35ba4779-456a-4e6c-adcc-e8d34bbfa4ec""]",,,
"Tom Kirkpatrick (TAU)","LiP Advanced Graduate tutorial – Lex specialis derogat legi generali – the logical content",,,,,"9824f53d-f7cb-4b16-b4ea-7584458f0ce6",2025-11-13T09:56:07Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10","[""59e1d5fd-7a17-4db7-a652-ffcefdce5ff7""]",,,
"Zvonimir Šikić (Rijeka)","Philosophy of Mathematics Essentials – Finite numbers and their logic (Part II)",,,,,"9c6f9956-2671-4a9f-abb9-3ed00ba532b9",2025-11-13T09:56:07Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10","[""59e1d5fd-7a17-4db7-a652-ffcefdce5ff7""]",,,
"Douglas Blue","Recent Foundational/Philosophically Interesting Work on Very Large Cardinals","""Expository Notes on some recent foundational/philosophically interesting work on very large cardinals, work inspired by that of W. W. Tait.""",,,,"a5023b28-2fc9-45fb-be19-e472ad52a7b9",2025-01-01T21:14:55Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""35ba4779-456a-4e6c-adcc-e8d34bbfa4ec""]",,,
"Ofra Rechter","Tutorial section II: ‘Mathematical Intuition’ from a Critical Finitary point view","A closer look at mathematical intuition through the lens of finitary approaches. We discuss how strict finitists approach questions of existence, proof, and meaning, and examine whether conventional accounts of intuition withstand finitary critique.","Second part of an ongoing discussion of mathematical intuition, now from a stricter, finitist perspective.",,,"b342165b-2b7e-43bc-888f-32a5495f2048",2025-03-14T12:33:46Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""93581b61-02a0-440c-b71c-e73f86690628""]",,,
"Peter Koellner","Disagreements in mathematics: the case of CH (Continuum Hypothesis)","Cantor’s Continuum Hypothesis (CH) is famous for its independence from standard set-theoretic axioms. On its face, mathematics appears exact, yet CH raises questions about absolute undecidability and the possibility of persistent disagreement even in mathematics. We survey historical perspectives, Gödel’s incompleteness results, and modern developments, focusing on whether expanding our base of axioms can or should settle CH definitively. Recent theorems—some joint with Hugh Woodin—recast CH as self-referential within this debate, essentially inviting us to let a thousand flowers bloom.","Examination of the nature of mathematical disagreements through the independence of the Continuum Hypothesis, with implications for foundational expansions and persistent controversies.",,,"b81e5d02-326a-42dc-852e-e711056d1cad",2025-03-14T12:33:46Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""93581b61-02a0-440c-b71c-e73f86690628""]",,,
"Edi Pavlović (Bayreuth)","Proof Theory – Modal logics & geometrization",,,,,"ba45db09-536b-48d9-9c88-20e020987869",2025-11-13T09:56:07Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10","[""59e1d5fd-7a17-4db7-a652-ffcefdce5ff7""]",,,
"Zvonimir Šikić","What are Laws and what are they for?","This session investigates the notion of laws—mathematical, scientific, or logical—and what roles they fulfill in our conceptual frameworks. We ask: Are laws merely convenient regularities, or do they have deeper ontological significance?","Philosophical exploration of the concept of laws—why we formulate them, how we use them, and their status in our theories.",,,"bb9afbce-0d4a-46e6-8b61-13da05dba291",2025-03-14T12:33:46Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""93581b61-02a0-440c-b71c-e73f86690628""]",,,
"Edi Pavlovic","Is, Ought, and Cut","""In this talk we offer a case study of utilizing logic to obtain philosophical results. We examine a range of deontic logics and their philosophical motivations. We distinguish syntactically between normative and descriptive statements and show, using proof-theoretic methods, that for the entire range of logics it is a (meta)theorem that the Special Hume Thesis holds, namely that no purely normative conclusion follows non-trivially from purely descriptive premises (nor, in fact, vice versa). In this way we identify a metanormative constraint which allows us to dismiss certain arguments as unconvincing based simply on their form. We finish up by laying out ways in which this project can be extended to further uses of logic in philosophy.""",,,,"bf99f413-65ce-44b3-857b-75858593b9dc",2025-01-01T21:14:55Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""35ba4779-456a-4e6c-adcc-e8d34bbfa4ec""]",,,
"Edi Pavlović (Bayreuth)","Geometrization – LiP tutorial",,,,,"da0e4887-04ab-480a-98d1-0f1f4a16467b",2025-11-13T09:56:07Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10","[""59e1d5fd-7a17-4db7-a652-ffcefdce5ff7""]",,,
"Ante Debeljuh (Rijeka)","LiP Advanced Graduate tutorial – The basics of formal epistemology",,,,,"dfd317d1-f705-4454-b38c-4c221c74b83a",2025-11-13T09:56:07Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10","[""59e1d5fd-7a17-4db7-a652-ffcefdce5ff7""]",,,
"Edi Pavlović (Bayreuth) & Norbert Gratzl (LMU)","Proof Theory – Geometrization",,,,,"e4c05978-5786-4fdc-add7-7ee790d145cd",2025-11-13T09:56:07Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10","[""59e1d5fd-7a17-4db7-a652-ffcefdce5ff7""]",,,
"Edi Pavlović (Bayreuth)","Proof Theory – Sequent calculi and their properties",,,,,"e8d7384c-81d3-44af-a54f-7f02c9015661",2025-11-13T09:56:07Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10","[""59e1d5fd-7a17-4db7-a652-ffcefdce5ff7""]",,,
,,,,,,"ed41afc7-88cf-4218-8e4b-49640ede4574",2025-03-17T16:14:48Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08",,,,
"Zvonimir Šikić (Rijeka)","Philosophy of Mathematics Essentials – Finite numbers and their logic (Part I)",,,,,"eda8a601-4de8-4039-8c43-57923502cee2",2025-11-13T09:56:07Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10","[""59e1d5fd-7a17-4db7-a652-ffcefdce5ff7""]",,,
"Edi Pavlović (Bayreuth) & Norbert Gratzl (LMU)","Proof Theory – Modal logics",,,,,"f49ad5bf-2d25-46b9-a49b-da039c050d45",2025-11-13T09:56:07Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10","[""59e1d5fd-7a17-4db7-a652-ffcefdce5ff7""]",,,
"Paolo Mancosu",,,,,,"f7c63889-8546-4f87-a964-90cecdbef921",2025-03-14T13:36:56Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08",,,,
"Ofra Rechter (Tel Aviv)","Proof Theory – The roots of proof theory: Foundational background",,,,,"f8165ad4-b315-4581-b926-b28fac154808",2025-11-13T09:56:07Z,2026-08-10T17:53:53Z,"19073a90-ce5e-44e4-8704-45403682df10","[""59e1d5fd-7a17-4db7-a652-ffcefdce5ff7""]",,,
"Montgomery Link","Gödel’s Project on the Continuum","In his later work, Gödel developed an extensive study of the continuum problem which included new axioms and generalized notions of definability. This talk traces a specific pattern of generalization present in Gödel’s approach, reflecting on how it might reshape our understanding of the continuum and of set-theoretic practice.","Analyzes Gödel’s late thinking on the continuum hypothesis, highlighting the pattern of generalization that characterizes his quest for new axioms in set theory.",,,"fe640bfa-042f-4e61-b566-c08c9ffc0a1a",2025-03-14T12:33:46Z,2026-08-10T17:53:53Z,"a34441b1-7f31-46ec-96f6-151996c45e08","[""93581b61-02a0-440c-b71c-e73f86690628""]",,,
